,Date,Close,Open,High,Low,Fluctuations
293,2022- 01- 14,95.17,94.87,95.27,94.63,0.40%
294,2022- 01- 13,94.79,94.99,95.02,94.66,-0.13%
295,2022- 01- 12,94.92,95.58,95.69,94.91,-0.74%
296,2022- 01- 11,95.62,95.93,96.07,95.58,-0.38%
297,2022- 01- 10,95.99,95.74,96.23,95.74,0.28%
298,2022- 01- 07,95.72,96.26,96.29,95.71,-0.62%
299,2022- 01- 06,96.32,96.2,96.39,96.04,0.15%
300,2022- 01- 05,96.17,96.31,96.33,95.89,-0.09%
301,2022- 01- 04,96.26,96.19,96.46,96.03,0.05%
302,2022- 01- 03,96.21,95.67,96.33,95.63,0.26%
303,2021- 12- 31,95.97,95.99,96.11,95.57,0.00%
304,2021- 12- 30,95.97,95.89,96.22,95.86,0.04%
305,2021- 12- 29,95.93,96.15,96.39,95.76,-0.28%
306,2021- 12- 28,96.2,96.07,96.28,96.0,0.11%
307,2021- 12- 27,96.09,96.15,96.26,96.05,0.08%
308,2021- 12- 23,96.02,96.03,96.28,95.99,-0.06%
309,2021- 12- 22,96.08,96.47,96.6,96.02,-0.43%
310,2021- 12- 21,96.49,96.54,96.64,96.34,-0.06%
311,2021- 12- 20,96.55,96.67,96.69,96.33,-0.01%
312,2021- 12- 17,96.57,96.0,96.69,95.88,0.54%
313,2021- 12- 16,96.04,96.43,96.45,95.85,-0.49%
314,2021- 12- 15,96.51,96.55,96.91,96.3,-0.06%
315,2021- 12- 14,96.57,96.35,96.59,96.1,0.26%
316,2021- 12- 13,96.32,96.05,96.44,96.05,0.23%
317,2021- 12- 10,96.1,96.21,96.43,95.98,-0.18%
318,2021- 12- 09,96.27,95.96,96.34,95.96,0.39%
319,2021- 12- 08,95.89,96.26,96.38,95.85,-0.49%
320,2021- 12- 07,96.37,96.3,96.59,96.17,0.04%
321,2021- 12- 06,96.33,96.15,96.43,96.13,0.22%
322,2021- 12- 03,96.12,96.12,96.45,95.97,-0.04%
323,2021- 12- 02,96.16,96.07,96.18,95.83,0.13%
324,2021- 12- 01,96.03,95.94,96.14,95.67,0.04%
325,2021- 11- 30,95.99,96.22,96.64,95.52,-0.36%
326,2021- 11- 29,96.34,96.07,96.44,96.07,0.26%
327,2021- 11- 26,96.09,96.72,96.77,95.75,-0.71%
328,2021- 11- 25,96.77,96.81,96.82,96.65,-0.10%
329,2021- 11- 24,96.88,96.53,96.94,96.43,0.40%
330,2021- 11- 23,96.49,96.46,96.61,96.31,-0.06%
331,2021- 11- 22,96.55,96.07,96.55,96.04,0.54%
332,2021- 11- 19,96.03,95.58,96.24,95.58,0.51%
333,2021- 11- 18,95.54,95.8,95.84,95.52,-0.30%
334,2021- 11- 17,95.83,95.94,96.24,95.73,-0.09%
335,2021- 11- 16,95.92,95.47,95.98,95.4,0.53%
336,2021- 11- 15,95.41,95.12,95.6,94.97,0.29%
337,2021- 11- 12,95.13,95.18,95.26,95.0,-0.05%
338,2021- 11- 11,95.18,94.84,95.2,94.84,0.35%
339,2021- 11- 10,94.85,93.98,94.9,93.97,0.95%
340,2021- 11- 09,93.96,94.09,94.15,93.88,-0.10%
341,2021- 11- 08,94.05,94.25,94.38,93.99,-0.29%
342,2021- 11- 05,94.32,94.34,94.62,94.19,-0.03%
343,2021- 11- 04,94.35,93.86,94.47,93.82,0.51%
344,2021- 11- 03,93.86,94.12,94.21,93.82,-0.24%
345,2021- 11- 02,94.09,93.93,94.13,93.82,0.22%
346,2021- 11- 01,93.88,94.13,94.31,93.86,-0.26%
347,2021- 10- 29,94.12,93.36,94.3,93.32,0.83%
348,2021- 10- 28,93.35,93.88,93.97,93.28,-0.49%
349,2021- 10- 27,93.8,93.97,94.01,93.69,-0.16%
350,2021- 10- 26,93.95,93.84,94.02,93.71,0.14%
351,2021- 10- 25,93.81,93.66,93.96,93.48,0.18%
352,2021- 10- 22,93.64,93.75,93.79,93.54,-0.14%
353,2021- 10- 21,93.77,93.58,93.79,93.5,0.23%
354,2021- 10- 20,93.56,93.81,93.88,93.54,-0.19%
355,2021- 10- 19,93.73,93.95,93.95,93.5,-0.23%
356,2021- 10- 18,93.95,93.95,94.17,93.87,0.02%
357,2021- 10- 15,93.94,94.03,94.07,93.85,-0.02%
358,2021- 10- 14,93.96,94.02,94.09,93.76,-0.13%
359,2021- 10- 13,94.08,94.52,94.53,94.0,-0.46%
360,2021- 10- 12,94.52,94.37,94.56,94.23,0.21%
361,2021- 10- 11,94.32,94.1,94.4,94.03,0.26%
362,2021- 10- 08,94.07,94.21,94.34,93.94,-0.16%
