,Date,Google_trends
893,2019-12-11,11.64516129032258
894,2019-12-12,11.709677419354836
895,2019-12-13,11.774193548387096
896,2019-12-14,11.838709677419354
897,2019-12-15,11.903225806451614
898,2019-12-16,11.967741935483874
899,2019-12-17,12.032258064516126
900,2019-12-18,12.096774193548386
901,2019-12-19,12.161290322580646
902,2019-12-20,12.225806451612904
903,2019-12-21,12.290322580645164
904,2019-12-22,12.35483870967742
905,2019-12-23,12.419354838709678
906,2019-12-24,12.483870967741936
907,2019-12-25,12.548387096774194
908,2019-12-26,12.612903225806454
909,2019-12-27,12.67741935483871
910,2019-12-28,12.741935483870966
911,2019-12-29,12.806451612903226
912,2019-12-30,12.870967741935484
913,2019-12-31,12.93548387096774
914,2020-01-01,13.0
915,2020-01-02,13.032258064516132
916,2020-01-03,13.06451612903226
917,2020-01-04,13.096774193548386
918,2020-01-05,13.129032258064516
919,2020-01-06,13.161290322580646
920,2020-01-07,13.193548387096774
921,2020-01-08,13.225806451612904
922,2020-01-09,13.258064516129034
923,2020-01-10,13.290322580645164
924,2020-01-11,13.32258064516129
925,2020-01-12,13.35483870967742
926,2020-01-13,13.387096774193546
927,2020-01-14,13.419354838709678
928,2020-01-15,13.451612903225806
929,2020-01-16,13.483870967741936
930,2020-01-17,13.516129032258064
931,2020-01-18,13.548387096774194
932,2020-01-19,13.580645161290322
933,2020-01-20,13.612903225806454
934,2020-01-21,13.64516129032258
935,2020-01-22,13.67741935483871
936,2020-01-23,13.709677419354836
937,2020-01-24,13.741935483870966
938,2020-01-25,13.774193548387096
939,2020-01-26,13.806451612903226
940,2020-01-27,13.838709677419354
941,2020-01-28,13.870967741935484
942,2020-01-29,13.903225806451614
943,2020-01-30,13.93548387096774
944,2020-01-31,13.967741935483874
945,2020-02-01,14.0
946,2020-02-02,14.20689655172414
947,2020-02-03,14.413793103448276
948,2020-02-04,14.620689655172416
949,2020-02-05,14.827586206896552
950,2020-02-06,15.034482758620689
951,2020-02-07,15.241379310344827
952,2020-02-08,15.448275862068966
953,2020-02-09,15.655172413793109
954,2020-02-10,15.862068965517242
955,2020-02-11,16.06896551724138
956,2020-02-12,16.275862068965516
957,2020-02-13,16.482758620689655
958,2020-02-14,16.689655172413794
959,2020-02-15,16.896551724137932
960,2020-02-16,17.103448275862068
961,2020-02-17,17.310344827586206
962,2020-02-18,17.517241379310345
963,2020-02-19,17.724137931034484
964,2020-02-20,17.931034482758623
965,2020-02-21,18.13793103448276
966,2020-02-22,18.344827586206893
967,2020-02-23,18.55172413793104
968,2020-02-24,18.75862068965517
969,2020-02-25,18.96551724137931
970,2020-02-26,19.17241379310345
971,2020-02-27,19.379310344827584
972,2020-02-28,19.58620689655172
973,2020-02-29,19.793103448275858
974,2020-03-01,20.0
975,2020-03-02,19.870967741935484
976,2020-03-03,19.741935483870968
977,2020-03-04,19.61290322580645
978,2020-03-05,19.48387096774193
979,2020-03-06,19.354838709677423
980,2020-03-07,19.225806451612907
981,2020-03-08,19.096774193548384
982,2020-03-09,18.967741935483872
983,2020-03-10,18.83870967741936
984,2020-03-11,18.70967741935484
985,2020-03-12,18.580645161290324
986,2020-03-13,18.451612903225808
987,2020-03-14,18.32258064516129
988,2020-03-15,18.193548387096776
989,2020-03-16,18.064516129032253
990,2020-03-17,17.935483870967747
991,2020-03-18,17.806451612903224
992,2020-03-19,17.677419354838708
993,2020-03-20,17.548387096774196
994,2020-03-21,17.419354838709676
995,2020-03-22,17.29032258064516
